date,genotype,food,cond,cue,plateID,animal,response.time,pir,group,paralyzed,data_type
2019-12-22,N2,OP50,Tyrosine,oct_1.0,1,7,1.7,,,,raw
2019-12-22,N2,OP50,Tyrosine,oct_1.0,1,8,4.1,,,,raw
2019-12-22,N2,OP50,Tyrosine,oct_1.0,1,9,0.5,,,,raw
2019-12-22,N2,OP50,Tyrosine,oct_1.0,1,10,0.7,,,,raw
2019-12-22,N2,OP50,Tyrosine,oct_1.0,1,11,0.9,,,,raw
2019-12-22,N2,OP50,Tyrosine,oct_1.0,1,12,0.6,,,,raw
2019-12-22,N2,OP50,Tyrosine,oct_1.0,1,13,1.7,,,,raw
2019-12-22,N2,OP50,Tyrosine,oct_1.0,1,14,2.9,,,,raw
2019-12-22,N2,OP50,Tyrosine,oct_1.0,1,15,0.8,,,,raw
2019-12-22,N2,OP50,Tyrosine,oct_1.0,1,16,1,,,,raw
2019-12-22,N2,OP50,Tyrosine,oct_1.0,1,17,1,,,,raw
2019-12-22,N2,OP50,Tyrosine,oct_1.0,1,18,1.7,,,,raw
2019-12-22,N2,OP50,Tyrosine,oct_1.0,1,19,4.5,,,,raw
2019-12-22,N2,OP50,Tyrosine,oct_1.0,1,20,2.3,,,,raw
2019-12-22,N2,JUb39,Tyrosine,oct_1.0,2,1,3.9,,,,raw
2019-12-22,N2,JUb39,Tyrosine,oct_1.0,2,2,20,,,,raw
2019-12-22,N2,JUb39,Tyrosine,oct_1.0,2,3,20,,,,raw
2019-12-22,N2,JUb39,Tyrosine,oct_1.0,2,4,20,,,,raw
2019-12-22,N2,JUb39,Tyrosine,oct_1.0,2,5,20,,,,raw
2019-12-22,N2,JUb39,Tyrosine,oct_1.0,2,6,2.2,,,,raw
2019-12-22,N2,JUb39,Tyrosine,oct_1.0,2,7,20,,,,raw
2019-12-22,N2,JUb39,Tyrosine,oct_1.0,2,8,20,,,,raw
2019-12-22,N2,JUb39,Tyrosine,oct_1.0,2,9,11.3,,,,raw
2019-12-22,N2,JUb39,Tyrosine,oct_1.0,2,10,6.2,,,,raw
2019-12-22,N2,JUb39,Tyrosine,oct_1.0,2,11,20,,,,raw
2019-12-22,N2,JUb39,Tyrosine,oct_1.0,2,12,20,,,,raw
2019-12-22,N2,JUb39,Tyrosine,oct_1.0,2,13,5.5,,,,raw
2019-12-22,N2,JUb39,Tyrosine,oct_1.0,2,14,5.4,,,,raw
2019-12-22,N2,JUb39,Tyrosine,oct_1.0,2,15,4.3,,,,raw
2019-12-22,N2,JUb39,Tyrosine,oct_1.0,2,16,6.7,,,,raw
2019-12-22,N2,JUb39,Tyrosine,oct_1.0,2,17,4.5,,,,raw
2019-12-22,N2,JUb39,Tyrosine,oct_1.0,2,18,4.2,,,,raw
2019-12-22,N2,JUb39,Tyrosine,oct_1.0,2,19,2.4,,,,raw
2019-12-22,N2,JUb39,Tyrosine,oct_1.0,2,20,3.7,,,,raw
2019-12-22,tbh-1,OP50,Tyrosine,oct_1.0,3,1,6.2,,,,raw
2019-12-22,tbh-1,OP50,Tyrosine,oct_1.0,3,2,4.7,,,,raw
2019-12-22,tbh-1,OP50,Tyrosine,oct_1.0,3,3,8.7,,,,raw
2019-12-22,tbh-1,OP50,Tyrosine,oct_1.0,3,4,1,,,,raw
2019-12-22,tbh-1,OP50,Tyrosine,oct_1.0,3,5,7.5,,,,raw
2019-12-22,tbh-1,OP50,Tyrosine,oct_1.0,3,6,4.2,,,,raw
2019-12-22,tbh-1,OP50,Tyrosine,oct_1.0,3,7,3.4,,,,raw
2019-12-22,tbh-1,OP50,Tyrosine,oct_1.0,3,8,1.5,,,,raw
2019-12-22,tbh-1,OP50,Tyrosine,oct_1.0,3,9,2.8,,,,raw
2019-12-22,tbh-1,OP50,Tyrosine,oct_1.0,3,10,20,,,,raw
2019-12-22,tbh-1,OP50,Tyrosine,oct_1.0,3,11,1.2,,,,raw
2019-12-22,tbh-1,OP50,Tyrosine,oct_1.0,3,12,2.9,,,,raw
2019-12-22,tbh-1,OP50,Tyrosine,oct_1.0,3,13,2.9,,,,raw
2019-12-22,tbh-1,OP50,Tyrosine,oct_1.0,3,14,2.8,,,,raw
2019-12-22,tbh-1,OP50,Tyrosine,oct_1.0,3,15,2.3,,,,raw
2019-12-22,tbh-1,OP50,Tyrosine,oct_1.0,3,16,5.6,,,,raw
2019-12-22,tbh-1,OP50,Tyrosine,oct_1.0,3,17,3.8,,,,raw
2019-12-22,tbh-1,OP50,Tyrosine,oct_1.0,3,18,5,,,,raw
2019-12-22,tbh-1,OP50,Tyrosine,oct_1.0,3,19,2.2,,,,raw
2019-12-22,tbh-1,OP50,Tyrosine,oct_1.0,3,20,3.6,,,,raw
2019-12-22,tbh-1,JUb39,Tyrosine,oct_1.0,4,1,4.8,,,,raw
2019-12-22,tbh-1,JUb39,Tyrosine,oct_1.0,4,2,20,,,,raw
2019-12-22,tbh-1,JUb39,Tyrosine,oct_1.0,4,3,20,,,,raw
2019-12-22,tbh-1,JUb39,Tyrosine,oct_1.0,4,4,15.6,,,,raw
2019-12-22,tbh-1,JUb39,Tyrosine,oct_1.0,4,5,5.3,,,,raw
2019-12-22,tbh-1,JUb39,Tyrosine,oct_1.0,4,6,9.2,,,,raw
2019-12-22,tbh-1,JUb39,Tyrosine,oct_1.0,4,7,4.3,,,,raw
2019-12-22,tbh-1,JUb39,Tyrosine,oct_1.0,4,8,3.1,,,,raw
2019-12-22,tbh-1,JUb39,Tyrosine,oct_1.0,4,9,20,,,,raw
2019-12-22,tbh-1,JUb39,Tyrosine,oct_1.0,4,10,5,,,,raw
2019-12-22,tbh-1,JUb39,Tyrosine,oct_1.0,4,11,20,,,,raw
2019-12-22,tbh-1,JUb39,Tyrosine,oct_1.0,4,12,4.4,,,,raw
2019-12-22,tbh-1,JUb39,Tyrosine,oct_1.0,4,13,5,,,,raw
2019-12-22,tbh-1,JUb39,Tyrosine,oct_1.0,4,14,20,,,,raw
2019-12-22,tbh-1,JUb39,Tyrosine,oct_1.0,4,15,2.3,,,,raw
2019-12-22,tbh-1,JUb39,Tyrosine,oct_1.0,4,16,2.3,,,,raw
2019-12-22,tbh-1,JUb39,Tyrosine,oct_1.0,4,17,3.9,,,,raw
2019-12-22,tbh-1,JUb39,Tyrosine,oct_1.0,4,18,5.3,,,,raw
2019-12-22,tbh-1,JUb39,Tyrosine,oct_1.0,4,19,4.7,,,,raw
2019-12-22,tbh-1,JUb39,Tyrosine,oct_1.0,4,20,7,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,5,1,1.5,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,5,2,0.8,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,5,3,1.5,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,5,4,1.9,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,5,5,4,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,5,6,1.3,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,5,7,2.8,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,5,8,0.9,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,5,9,1.6,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,5,10,1.6,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,5,11,3.5,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,5,12,1.5,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,5,13,0.8,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,5,14,1.8,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,5,15,1.4,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,5,16,1.7,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,5,17,0.9,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,5,18,2.2,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,5,19,2.2,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,5,20,1.3,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,6,1,20,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,6,2,20,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,6,3,9.5,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,6,4,2.7,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,6,5,6.7,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,6,6,8.2,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,6,7,9.9,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,6,8,20,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,6,9,3.2,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,6,10,2.8,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,6,11,7.9,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,6,12,7.9,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,6,13,3,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,6,14,2.9,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,6,15,6.7,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,6,16,1.8,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,6,17,3.2,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,6,18,3.8,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,6,19,14.1,,,,raw
2019-12-22,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,6,20,2.6,,,,raw
