date,genotype,animal,food,cond,cue,response.time,pir,group
10_17_17,N2,1,JUb39,off_food,oct_1.0,11,0,C
10_17_17,N2,2,JUb39,off_food,oct_1.0,8.3,0,C
10_17_17,N2,3,JUb39,off_food,oct_1.0,20,0,C
10_17_17,N2,4,JUb39,off_food,oct_1.0,10.1,1,C
10_17_17,N2,5,JUb39,off_food,oct_1.0,2.7,1,C
10_17_17,N2,6,JUb39,off_food,oct_1.0,3.1,1,C
10_17_17,N2,7,JUb39,off_food,oct_1.0,4.1,1,C
10_17_17,N2,8,JUb39,off_food,oct_1.0,4.3,1,C
10_17_17,N2,9,JUb39,off_food,oct_1.0,20,0,C
10_17_17,N2,10,JUb39,off_food,oct_1.0,8.6,1,C
10_17_17,N2,11,JUb39,off_food,oct_1.0,20,0,C
10_17_17,N2,1,OP50,off_food,oct_1.0,1.3,,D
10_17_17,N2,2,OP50,off_food,oct_1.0,1.2,,D
10_17_17,N2,3,OP50,off_food,oct_1.0,15.9,,D
10_17_17,N2,4,OP50,off_food,oct_1.0,3.5,,D
10_17_17,N2,5,OP50,off_food,oct_1.0,6.7,,D
10_17_17,N2,6,OP50,off_food,oct_1.0,4.1,,D
10_17_17,N2,7,OP50,off_food,oct_1.0,1,,D
10_17_17,N2,8,OP50,off_food,oct_1.0,3.9,,D
10_17_17,N2,9,OP50,off_food,oct_1.0,6,,D
10_17_17,N2,10,OP50,off_food,oct_1.0,5.9,,D
10_17_17,N2,1,JUb39,off_food,oct_1.0,20,,D
10_17_17,N2,2,JUb39,off_food,oct_1.0,20,,D
10_17_17,N2,3,JUb39,off_food,oct_1.0,9.3,,D
10_17_17,N2,4,JUb39,off_food,oct_1.0,20,,D
10_17_17,N2,5,JUb39,off_food,oct_1.0,15.9,,D
10_17_17,N2,6,JUb39,off_food,oct_1.0,4.9,,D
10_17_17,N2,7,JUb39,off_food,oct_1.0,20,,D
10_17_17,N2,8,JUb39,off_food,oct_1.0,3.6,,D
10_17_17,N2,9,JUb39,off_food,oct_1.0,10.3,,D
10_17_17,N2,10,JUb39,off_food,oct_1.0,3.5,,D
10_24_17,N2,1,OP50,off_food,oct_1.0,8,,E
10_24_17,N2,2,OP50,off_food,oct_1.0,2.3,,E
10_24_17,N2,3,OP50,off_food,oct_1.0,2.8,,E
10_24_17,N2,4,OP50,off_food,oct_1.0,5.6,,E
10_24_17,N2,5,OP50,off_food,oct_1.0,2.1,,E
10_24_17,N2,6,OP50,off_food,oct_1.0,4.7,,E
10_24_17,N2,7,OP50,off_food,oct_1.0,1.2,,E
10_24_17,N2,8,OP50,off_food,oct_1.0,1.3,,E
10_24_17,N2,9,OP50,off_food,oct_1.0,1.8,,E
10_24_17,N2,10,OP50,off_food,oct_1.0,1.2,,E
10_24_17,octr-1,1,OP50,off_food,oct_1.0,1.8,,E
10_24_17,octr-1,2,OP50,off_food,oct_1.0,0.84,,E
10_24_17,octr-1,3,OP50,off_food,oct_1.0,1.9,,E
10_24_17,octr-1,4,OP50,off_food,oct_1.0,0.8,,E
10_24_17,octr-1,5,OP50,off_food,oct_1.0,7.7,,E
10_24_17,octr-1,6,OP50,off_food,oct_1.0,1.6,,E
10_24_17,octr-1,7,OP50,off_food,oct_1.0,1.6,,E
10_24_17,octr-1,8,OP50,off_food,oct_1.0,2.6,,E
10_24_17,octr-1,9,OP50,off_food,oct_1.0,2.5,,E
10_24_17,octr-1,10,OP50,off_food,oct_1.0,1.7,,E
10_24_17,tdc-1,1,OP50,off_food,oct_1.0,7.7,,E
10_24_17,tdc-1,2,OP50,off_food,oct_1.0,1.7,,E
10_24_17,tdc-1,3,OP50,off_food,oct_1.0,2.7,,E
10_24_17,tdc-1,4,OP50,off_food,oct_1.0,4.6,,E
10_24_17,tdc-1,5,OP50,off_food,oct_1.0,1.3,,E
10_24_17,tdc-1,6,OP50,off_food,oct_1.0,2.8,,E
10_24_17,tdc-1,7,OP50,off_food,oct_1.0,2.4,,E
10_24_17,tdc-1,8,OP50,off_food,oct_1.0,6.6,,E
10_24_17,tdc-1,9,OP50,off_food,oct_1.0,2.6,,E
10_24_17,tdc-1,10,OP50,off_food,oct_1.0,3.6,,E
10_24_17,N2,1,JUb39,off_food,oct_1.0,13.6,,E
10_24_17,N2,2,JUb39,off_food,oct_1.0,10.7,,E
10_24_17,N2,3,JUb39,off_food,oct_1.0,3.3,,E
10_24_17,N2,4,JUb39,off_food,oct_1.0,7.3,,E
10_24_17,N2,5,JUb39,off_food,oct_1.0,2.1,,E
10_24_17,N2,6,JUb39,off_food,oct_1.0,20,,E
10_24_17,N2,7,JUb39,off_food,oct_1.0,5.2,,E
10_24_17,N2,8,JUb39,off_food,oct_1.0,6,,E
10_24_17,N2,9,JUb39,off_food,oct_1.0,4.7,,E
10_24_17,N2,10,JUb39,off_food,oct_1.0,20,,E
10_24_17,octr-1,1,JUb39,off_food,oct_1.0,9,,E
10_24_17,octr-1,2,JUb39,off_food,oct_1.0,20,,E
10_24_17,octr-1,3,JUb39,off_food,oct_1.0,5.2,,E
10_24_17,octr-1,4,JUb39,off_food,oct_1.0,2.3,,E
10_24_17,octr-1,5,JUb39,off_food,oct_1.0,2.6,,E
10_24_17,octr-1,6,JUb39,off_food,oct_1.0,4.2,,E
10_24_17,octr-1,7,JUb39,off_food,oct_1.0,7,,E
10_24_17,octr-1,8,JUb39,off_food,oct_1.0,1.7,,E
10_24_17,octr-1,9,JUb39,off_food,oct_1.0,4.3,,E
10_24_17,octr-1,10,JUb39,off_food,oct_1.0,3.8,,E
10_24_17,tdc-1,1,JUb39,off_food,oct_1.0,14,,E
10_24_17,tdc-1,2,JUb39,off_food,oct_1.0,20,,E
10_24_17,tdc-1,3,JUb39,off_food,oct_1.0,3,,E
10_24_17,tdc-1,4,JUb39,off_food,oct_1.0,6.5,,E
10_24_17,tdc-1,5,JUb39,off_food,oct_1.0,20,,E
10_24_17,tdc-1,6,JUb39,off_food,oct_1.0,11.8,,E
10_24_17,tdc-1,7,JUb39,off_food,oct_1.0,4.6,,E
10_24_17,tdc-1,8,JUb39,off_food,oct_1.0,8.9,,E
10_24_17,tdc-1,9,JUb39,off_food,oct_1.0,1.9,,E
10_24_17,tdc-1,10,JUb39,off_food,oct_1.0,2,,E
10_24_17,N2,1,OP50,off_food,oct_1.0,1.1,,
10_24_17,N2,2,OP50,off_food,oct_1.0,2.1,,
10_24_17,N2,3,OP50,off_food,oct_1.0,0.8,,
10_24_17,N2,4,OP50,off_food,oct_1.0,11.8,,
10_24_17,N2,5,OP50,off_food,oct_1.0,2,,
10_24_17,N2,6,OP50,off_food,oct_1.0,5.5,,
10_24_17,N2,7,OP50,off_food,oct_1.0,2.3,,
10_24_17,N2,8,OP50,off_food,oct_1.0,3.9,,
10_24_17,N2,9,OP50,off_food,oct_1.0,6.3,,
10_24_17,N2,10,OP50,off_food,oct_1.0,4.4,,
10_24_17,octr-1,1,OP50,off_food,oct_1.0,0.7,,
10_24_17,octr-1,2,OP50,off_food,oct_1.0,1.8,,
10_24_17,octr-1,3,OP50,off_food,oct_1.0,2.4,,
10_24_17,octr-1,4,OP50,off_food,oct_1.0,5.5,,
10_24_17,octr-1,5,OP50,off_food,oct_1.0,1.5,,
10_24_17,octr-1,6,OP50,off_food,oct_1.0,5.3,,
10_24_17,octr-1,7,OP50,off_food,oct_1.0,2.2,,
10_24_17,octr-1,8,OP50,off_food,oct_1.0,1.8,,
10_24_17,octr-1,9,OP50,off_food,oct_1.0,5.7,,
10_24_17,octr-1,10,OP50,off_food,oct_1.0,5.1,,
10_24_17,tdc-1,1,OP50,off_food,oct_1.0,5.1,,
10_24_17,tdc-1,2,OP50,off_food,oct_1.0,4.1,,
10_24_17,tdc-1,3,OP50,off_food,oct_1.0,3.2,,
10_24_17,tdc-1,4,OP50,off_food,oct_1.0,1.3,,
10_24_17,tdc-1,5,OP50,off_food,oct_1.0,3.8,,
10_24_17,tdc-1,6,OP50,off_food,oct_1.0,3.6,,
10_24_17,tdc-1,7,OP50,off_food,oct_1.0,1.8,,
10_24_17,tdc-1,8,OP50,off_food,oct_1.0,3.1,,
10_24_17,tdc-1,9,OP50,off_food,oct_1.0,2.9,,
10_24_17,tdc-1,10,OP50,off_food,oct_1.0,0.8,,
10_24_17,N2,1,JUb39,off_food,oct_1.0,20,,
10_24_17,N2,2,JUb39,off_food,oct_1.0,1.6,,
10_24_17,N2,3,JUb39,off_food,oct_1.0,2.3,,
10_24_17,N2,4,JUb39,off_food,oct_1.0,20,,
10_24_17,N2,5,JUb39,off_food,oct_1.0,4,,
10_24_17,N2,6,JUb39,off_food,oct_1.0,2.7,,
10_24_17,N2,7,JUb39,off_food,oct_1.0,20,,
10_24_17,N2,8,JUb39,off_food,oct_1.0,2.1,,
10_24_17,N2,9,JUb39,off_food,oct_1.0,5.9,,
10_24_17,N2,10,JUb39,off_food,oct_1.0,2.4,,
10_24_17,octr-1,1,JUb39,off_food,oct_1.0,3.2,,
10_24_17,octr-1,2,JUb39,off_food,oct_1.0,2.9,,
10_24_17,octr-1,3,JUb39,off_food,oct_1.0,5,,
10_24_17,octr-1,4,JUb39,off_food,oct_1.0,20,,
10_24_17,octr-1,5,JUb39,off_food,oct_1.0,4.9,,
10_24_17,octr-1,6,JUb39,off_food,oct_1.0,3.3,,
10_24_17,octr-1,7,JUb39,off_food,oct_1.0,3.4,,
10_24_17,octr-1,8,JUb39,off_food,oct_1.0,4.8,,
10_24_17,octr-1,9,JUb39,off_food,oct_1.0,1.6,,
10_24_17,octr-1,10,JUb39,off_food,oct_1.0,1.9,,
10_24_17,tdc-1,1,JUb39,off_food,oct_1.0,20,,
10_24_17,tdc-1,2,JUb39,off_food,oct_1.0,20,,
10_24_17,tdc-1,3,JUb39,off_food,oct_1.0,3.6,,
10_24_17,tdc-1,4,JUb39,off_food,oct_1.0,4.6,,
10_24_17,tdc-1,5,JUb39,off_food,oct_1.0,5.6,,
10_24_17,tdc-1,6,JUb39,off_food,oct_1.0,1.7,,
10_24_17,tdc-1,7,JUb39,off_food,oct_1.0,20,,
10_24_17,tdc-1,8,JUb39,off_food,oct_1.0,2.1,,
10_24_17,tdc-1,9,JUb39,off_food,oct_1.0,2.3,,
10_24_17,tdc-1,10,JUb39,off_food,oct_1.0,13.4,,
10_24_17,N2,1,OP50,off_food,oct_1.0,6,,
10_24_17,N2,2,OP50,off_food,oct_1.0,3.4,,
10_24_17,N2,3,OP50,off_food,oct_1.0,3.7,,
10_24_17,N2,4,OP50,off_food,oct_1.0,4.2,,
10_24_17,N2,5,OP50,off_food,oct_1.0,1.4,,
10_24_17,N2,6,OP50,off_food,oct_1.0,0.9,,
10_24_17,N2,7,OP50,off_food,oct_1.0,1.3,,
10_24_17,N2,8,OP50,off_food,oct_1.0,4.8,,
10_24_17,N2,9,OP50,off_food,oct_1.0,0.9,,
10_24_17,N2,10,OP50,off_food,oct_1.0,1.7,,
10_24_17,octr-1,1,OP50,off_food,oct_1.0,0.8,,
10_24_17,octr-1,2,OP50,off_food,oct_1.0,6.1,,
10_24_17,octr-1,3,OP50,off_food,oct_1.0,8.5,,
10_24_17,octr-1,4,OP50,off_food,oct_1.0,0.9,,
10_24_17,octr-1,5,OP50,off_food,oct_1.0,1.4,,
10_24_17,octr-1,6,OP50,off_food,oct_1.0,0.7,,
10_24_17,octr-1,7,OP50,off_food,oct_1.0,1.5,,
10_24_17,octr-1,8,OP50,off_food,oct_1.0,3.9,,
10_24_17,octr-1,9,OP50,off_food,oct_1.0,0.9,,
10_24_17,octr-1,10,OP50,off_food,oct_1.0,2.8,,
10_24_17,tdc-1,1,OP50,off_food,oct_1.0,20,,
10_24_17,tdc-1,2,OP50,off_food,oct_1.0,3.8,,
10_24_17,tdc-1,3,OP50,off_food,oct_1.0,1.1,,
10_24_17,tdc-1,4,OP50,off_food,oct_1.0,2.6,,
10_24_17,tdc-1,5,OP50,off_food,oct_1.0,1.2,,
10_24_17,tdc-1,6,OP50,off_food,oct_1.0,0.8,,
10_24_17,tdc-1,7,OP50,off_food,oct_1.0,13.1,,
10_24_17,tdc-1,8,OP50,off_food,oct_1.0,3.6,,
10_24_17,tdc-1,9,OP50,off_food,oct_1.0,5.4,,
10_24_17,tdc-1,10,OP50,off_food,oct_1.0,3.9,,
10_24_17,N2,1,JUb39,off_food,oct_1.0,8.6,,
10_24_17,N2,2,JUb39,off_food,oct_1.0,7.3,,
10_24_17,N2,3,JUb39,off_food,oct_1.0,2.9,,
10_24_17,N2,4,JUb39,off_food,oct_1.0,12.2,,
10_24_17,N2,5,JUb39,off_food,oct_1.0,1.1,,
10_24_17,N2,6,JUb39,off_food,oct_1.0,3.9,,
10_24_17,N2,7,JUb39,off_food,oct_1.0,1.2,,
10_24_17,N2,8,JUb39,off_food,oct_1.0,20,,
10_24_17,N2,9,JUb39,off_food,oct_1.0,3.9,,
10_24_17,N2,10,JUb39,off_food,oct_1.0,5.6,,
10_24_17,octr-1,1,JUb39,off_food,oct_1.0,8.4,,
10_24_17,octr-1,2,JUb39,off_food,oct_1.0,7.8,,
10_24_17,octr-1,3,JUb39,off_food,oct_1.0,20,,
10_24_17,octr-1,4,JUb39,off_food,oct_1.0,2.2,,
10_24_17,octr-1,5,JUb39,off_food,oct_1.0,3.4,,
10_24_17,octr-1,6,JUb39,off_food,oct_1.0,2.6,,
10_24_17,octr-1,7,JUb39,off_food,oct_1.0,1.2,,
10_24_17,octr-1,8,JUb39,off_food,oct_1.0,1.3,,
10_24_17,octr-1,9,JUb39,off_food,oct_1.0,8.4,,
10_24_17,octr-1,10,JUb39,off_food,oct_1.0,2.3,,
10_24_17,tdc-1,1,JUb39,off_food,oct_1.0,12.6,,
10_24_17,tdc-1,2,JUb39,off_food,oct_1.0,20,,
10_24_17,tdc-1,3,JUb39,off_food,oct_1.0,20,,
10_24_17,tdc-1,4,JUb39,off_food,oct_1.0,3.6,,
10_24_17,tdc-1,5,JUb39,off_food,oct_1.0,20,,
10_24_17,tdc-1,6,JUb39,off_food,oct_1.0,12.4,,
10_24_17,tdc-1,7,JUb39,off_food,oct_1.0,1.6,,
10_24_17,tdc-1,8,JUb39,off_food,oct_1.0,5.4,,
10_24_17,tdc-1,9,JUb39,off_food,oct_1.0,20,,
10_24_17,tdc-1,10,JUb39,off_food,oct_1.0,11.1,,
6_18_18,N2,1,OP50,off_food,oct_0.3,19,,
6_18_18,N2,2,OP50,off_food,oct_0.3,1,,
6_18_18,N2,3,OP50,off_food,oct_0.3,3,,
6_18_18,N2,4,OP50,off_food,oct_0.3,3,,
6_18_18,N2,5,OP50,off_food,oct_0.3,8,,
6_18_18,N2,6,OP50,off_food,oct_0.3,8,,
6_18_18,N2,7,OP50,off_food,oct_0.3,2,,
6_18_18,N2,8,OP50,off_food,oct_0.3,1,,
6_18_18,N2,9,OP50,off_food,oct_0.3,10,,
6_18_18,N2,10,OP50,off_food,oct_0.3,5,,
6_18_18,N2,11,OP50,off_food,oct_0.3,2,,
6_18_18,N2,12,OP50,off_food,oct_0.3,11,,
6_18_18,N2,13,OP50,off_food,oct_0.3,9,,
6_18_18,N2,14,OP50,off_food,oct_0.3,3,,
6_18_18,N2,15,OP50,off_food,oct_0.3,8,,
6_18_18,N2,16,OP50,off_food,oct_0.3,4,,
6_18_18,N2,17,OP50,off_food,oct_0.3,6,,
6_18_18,N2,18,OP50,off_food,oct_0.3,5,,
6_18_18,N2,19,OP50,off_food,oct_0.3,3,,
6_18_18,N2,1,JUb39,off_food,oct_0.3,20,,
6_18_18,N2,2,JUb39,off_food,oct_0.3,4,,
6_18_18,N2,3,JUb39,off_food,oct_0.3,4,,
6_18_18,N2,4,JUb39,off_food,oct_0.3,4,,
6_18_18,N2,5,JUb39,off_food,oct_0.3,5,,
6_18_18,N2,6,JUb39,off_food,oct_0.3,3,,
6_18_18,N2,7,JUb39,off_food,oct_0.3,2,,
6_18_18,N2,8,JUb39,off_food,oct_0.3,4,,
6_18_18,N2,9,JUb39,off_food,oct_0.3,3,,
6_18_18,N2,10,JUb39,off_food,oct_0.3,5,,
6_18_18,N2,11,JUb39,off_food,oct_0.3,2,,
6_18_18,N2,12,JUb39,off_food,oct_0.3,5,,
6_18_18,N2,13,JUb39,off_food,oct_0.3,4,,
6_18_18,N2,14,JUb39,off_food,oct_0.3,20,,
6_18_18,N2,15,JUb39,off_food,oct_0.3,10,,
6_18_18,N2,16,JUb39,off_food,oct_0.3,5,,
6_18_18,N2,17,JUb39,off_food,oct_0.3,4,,
6_18_18,N2,18,JUb39,off_food,oct_0.3,11,,
6_18_18,N2,19,JUb39,off_food,oct_0.3,3,,
6_18_18,N2,1,BL21_tdcGOF,off_food,oct_1.0,1,,
6_18_18,N2,2,BL21_tdcGOF,off_food,oct_1.0,13,,
6_18_18,N2,3,BL21_tdcGOF,off_food,oct_1.0,13,,
6_18_18,N2,4,BL21_tdcGOF,off_food,oct_1.0,19,,
6_18_18,N2,5,BL21_tdcGOF,off_food,oct_1.0,6,,
6_18_18,N2,6,BL21_tdcGOF,off_food,oct_1.0,11,,
6_18_18,N2,7,BL21_tdcGOF,off_food,oct_1.0,14,,
6_18_18,N2,8,BL21_tdcGOF,off_food,oct_1.0,10,,
6_18_18,N2,9,BL21_tdcGOF,off_food,oct_1.0,2,,
6_18_18,N2,10,BL21_tdcGOF,off_food,oct_1.0,6,,
6_18_18,N2,11,BL21_tdcGOF,off_food,oct_1.0,6,,
6_18_18,N2,12,BL21_tdcGOF,off_food,oct_1.0,3,,
6_18_18,N2,13,BL21_tdcGOF,off_food,oct_1.0,5,,
6_18_18,N2,14,BL21_tdcGOF,off_food,oct_1.0,7,,
6_18_18,N2,15,BL21_tdcGOF,off_food,oct_1.0,3,,
6_18_18,N2,16,BL21_tdcGOF,off_food,oct_1.0,14,,
6_18_18,N2,17,BL21_tdcGOF,off_food,oct_1.0,5,,
6_18_18,N2,18,BL21_tdcGOF,off_food,oct_1.0,3,,
6_18_18,N2,19,BL21_tdcGOF,off_food,oct_1.0,6,,
6_18_18,N2,20,BL21_tdcGOF,off_food,oct_1.0,5,,
6_18_18,N2,1,BL21,off_food,oct_1.0,9,,
6_18_18,N2,2,BL21,off_food,oct_1.0,3,,
6_18_18,N2,3,BL21,off_food,oct_1.0,3,,
6_18_18,N2,4,BL21,off_food,oct_1.0,3,,
6_18_18,N2,5,BL21,off_food,oct_1.0,8,,
6_18_18,N2,6,BL21,off_food,oct_1.0,5,,
6_18_18,N2,7,BL21,off_food,oct_1.0,8,,
6_18_18,N2,8,BL21,off_food,oct_1.0,2,,
6_18_18,N2,9,BL21,off_food,oct_1.0,1,,
6_18_18,N2,10,BL21,off_food,oct_1.0,6,,
6_18_18,N2,11,BL21,off_food,oct_1.0,6,,
6_18_18,N2,12,BL21,off_food,oct_1.0,4,,
6_18_18,N2,13,BL21,off_food,oct_1.0,4,,
6_18_18,N2,14,BL21,off_food,oct_1.0,4,,
6_18_18,N2,15,BL21,off_food,oct_1.0,2,,
6_18_18,N2,16,BL21,off_food,oct_1.0,4,,
6_18_18,N2,17,BL21,off_food,oct_1.0,5,,
6_18_18,N2,18,BL21,off_food,oct_1.0,3,,
6_18_18,N2,19,BL21,off_food,oct_1.0,6,,
6_18_18,N2,20,BL21,off_food,oct_1.0,2,,
6_23_18,N2,1,OP50,off_food,oct_1.0,1,,
6_23_18,N2,2,OP50,off_food,oct_1.0,9,,
6_23_18,N2,3,OP50,off_food,oct_1.0,1.7,,
6_23_18,N2,4,OP50,off_food,oct_1.0,4,,
6_23_18,N2,5,OP50,off_food,oct_1.0,1.7,,
6_23_18,N2,6,OP50,off_food,oct_1.0,4.1,,
6_23_18,N2,7,OP50,off_food,oct_1.0,6.6,,
6_23_18,N2,8,OP50,off_food,oct_1.0,4.7,,
6_23_18,N2,9,OP50,off_food,oct_1.0,4.8,,
6_23_18,N2,10,OP50,off_food,oct_1.0,4.4,,
6_23_18,N2,11,OP50,off_food,oct_1.0,3.6,,
6_23_18,N2,12,OP50,off_food,oct_1.0,3.9,,
6_23_18,N2,13,OP50,off_food,oct_1.0,4.5,,
6_23_18,N2,14,OP50,off_food,oct_1.0,3.4,,
6_23_18,N2,15,OP50,off_food,oct_1.0,4.5,,
6_23_18,N2,16,OP50,off_food,oct_1.0,5.1,,
6_23_18,N2,17,OP50,off_food,oct_1.0,4.6,,
6_23_18,N2,18,OP50,off_food,oct_1.0,3.9,,
6_23_18,N2,19,OP50,off_food,oct_1.0,3.4,,
6_23_18,N2,20,OP50,off_food,oct_1.0,1.7,,
6_23_18,N2,1,JUb39,off_food,oct_1.0,9.3,,
6_23_18,N2,2,JUb39,off_food,oct_1.0,8,,
6_23_18,N2,3,JUb39,off_food,oct_1.0,2,,
6_23_18,N2,4,JUb39,off_food,oct_1.0,3.4,,
6_23_18,N2,5,JUb39,off_food,oct_1.0,7.9,,
6_23_18,N2,6,JUb39,off_food,oct_1.0,12.4,,
6_23_18,N2,7,JUb39,off_food,oct_1.0,5.8,,
6_23_18,N2,8,JUb39,off_food,oct_1.0,5,,
6_23_18,N2,9,JUb39,off_food,oct_1.0,5.5,,
6_23_18,N2,10,JUb39,off_food,oct_1.0,8.3,,
6_23_18,N2,11,JUb39,off_food,oct_1.0,20,,
6_23_18,N2,12,JUb39,off_food,oct_1.0,5.4,,
6_23_18,N2,13,JUb39,off_food,oct_1.0,8,,
6_23_18,N2,14,JUb39,off_food,oct_1.0,4.1,,
6_23_18,N2,15,JUb39,off_food,oct_1.0,3.8,,
6_23_18,N2,16,JUb39,off_food,oct_1.0,6.5,,
6_23_18,N2,17,JUb39,off_food,oct_1.0,6.5,,
6_23_18,N2,18,JUb39,off_food,oct_1.0,11,,
6_23_18,N2,19,JUb39,off_food,oct_1.0,6.2,,
6_23_18,N2,20,JUb39,off_food,oct_1.0,12.7,,
6_23_18,tbh-1,1,OP50,off_food,oct_1.0,7,,
6_23_18,tbh-1,2,OP50,off_food,oct_1.0,9.8,,
6_23_18,tbh-1,,OP50,off_food,oct_1.0,2,,
6_23_18,tbh-1,,OP50,off_food,oct_1.0,1.8,,
6_23_18,tbh-1,,OP50,off_food,oct_1.0,2.5,,
6_23_18,tbh-1,,OP50,off_food,oct_1.0,4.9,,
6_23_18,tbh-1,,OP50,off_food,oct_1.0,1.9,,
6_23_18,tbh-1,,OP50,off_food,oct_1.0,4,,
6_23_18,tbh-1,,OP50,off_food,oct_1.0,1.6,,
6_23_18,tbh-1,,OP50,off_food,oct_1.0,4.5,,
6_23_18,tbh-1,,OP50,off_food,oct_1.0,2.4,,
6_23_18,tbh-1,,OP50,off_food,oct_1.0,2.6,,
6_23_18,tbh-1,,OP50,off_food,oct_1.0,1.4,,
6_23_18,tbh-1,,OP50,off_food,oct_1.0,6.9,,
6_23_18,tbh-1,,OP50,off_food,oct_1.0,3.1,,
6_23_18,tbh-1,,OP50,off_food,oct_1.0,6.7,,
6_23_18,tbh-1,,OP50,off_food,oct_1.0,3.1,,
6_23_18,tbh-1,,OP50,off_food,oct_1.0,8.3,,
6_23_18,tbh-1,,OP50,off_food,oct_1.0,2,,
6_23_18,tbh-1,,OP50,off_food,oct_1.0,3.3,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,16.5,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,8.4,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,8.2,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,6.8,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,4.3,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,6.3,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,2.8,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,6.3,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,7.7,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,8.5,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,20,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,8.3,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,6.5,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,3.1,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,7,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,13,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,6.6,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,8,,
6_23_18,tbh-1,,JUb39,off_food,oct_1.0,7.8,,
